order_id,product_id,quantity,discount
O3240,P2030,3,38
O3389,P2063,1,45
O3429,P2081,2,26
O3163,P2076,6,12
O3468,P2009,5,6
O3104,P2067,2,25
O3189,P2001,7,39
O3160,P2046,5,46
O3211,P2040,7,28
O3023,P2016,6,32
O3288,P2049,8,4
O3442,P2072,5,32
O3113,P2053,3,36
O3379,P2046,6,13
O3074,P2069,7,7
O3008,P2087,1,7
O3133,P2022,1,5
O3283,P2097,9,9
O3478,P2060,9,27
O3299,P2098,5,45
O3296,P2009,4,22
O3368,P2002,3,11
O3213,P2075,7,18
O3151,P2008,8,16
O3078,P2001,5,12
O3100,P2033,6,14
O3168,P2027,4,49
O3117,P2005,2,11
O3194,P2007,4,7
O3291,P2050,1,8
O3426,P2064,1,21
O3125,P2036,2,37
O3255,P2080,3,28
O3281,P2091,4,11
O3335,P2064,7,11
O3483,P2098,4,28
O3350,P2053,3,30
O3172,P2054,3,12
O3131,P2089,2,3
O3390,P2051,7,3
O3420,P2010,2,18
O3250,P2081,6,30
O3494,P2068,5,9
O3370,P2068,4,34
O3328,P2078,6,7
O3378,P2019,4,37
O3251,P2035,3,11
O3235,P2010,7,49
O3086,P2039,2,17
O3375,P2010,1,40
O3407,P2065,3,46
O3180,P2026,9,49
O3086,P2019,5,44
O3071,P2068,9,17
O3368,P2041,9,10
O3279,P2050,9,27
O3250,P2075,7,28
O3094,P2081,9,31
O3469,P2097,1,15
O3455,P2083,9,48
O3277,P2087,2,34
O3328,P2082,3,39
O3490,P2008,4,17
O3030,P2039,4,26
O3268,P2089,2,35
O3017,P2055,4,10
O3429,P2093,8,38
O3433,P2030,1,27
O3038,P2007,2,4
O3483,P2031,3,28
O3418,P2011,3,34
O3342,P2055,6,33
O3024,P2014,5,43
O3391,P2058,2,3
O3003,P2078,5,16
O3211,P2077,3,31
O3070,P2007,2,40
O3431,P2039,9,49
O3322,P2085,4,25
O3118,P2094,2,1
O3034,P2084,4,10
O3362,P2094,8,36
O3077,P2022,8,6
O3004,P2015,5,12
O3111,P2001,5,41
O3258,P2090,7,20
O3233,P2017,5,3
O3191,P2089,1,49
O3030,P2001,7,28
O3316,P2020,8,37
O3326,P2063,9,20
O3341,P2044,1,22
O3478,P2066,9,47
O3315,P2066,6,9
O3467,P2092,3,22
O3247,P2033,4,31
O3337,P2021,3,36
O3249,P2047,4,20
O3008,P2016,8,29
O3003,P2095,6,0
O3272,P2099,4,33
O3282,P2034,4,6
O3210,P2093,7,8
O3006,P2015,8,33
O3008,P2098,1,48
O3271,P2003,2,32
O3369,P2042,5,32
O3140,P2054,8,17
O3274,P2034,3,27
O3146,P2067,2,5
O3008,P2008,8,44
O3257,P2033,8,36
O3416,P2091,8,42
O3357,P2073,3,37
O3345,P2080,7,24
O3220,P2009,1,8
O3412,P2063,6,49
O3481,P2058,7,47
O3465,P2065,5,12
O3091,P2046,6,16
O3054,P2007,6,33
O3470,P2063,1,24
O3049,P2072,5,46
O3268,P2021,4,1
O3076,P2047,6,47
O3123,P2020,5,29
O3098,P2032,8,14
O3317,P2098,7,17
O3269,P2013,2,39
O3129,P2073,5,8
O3417,P2086,9,12
O3181,P2092,3,27
O3136,P2014,1,33
O3407,P2029,5,30
O3203,P2094,2,43
O3040,P2065,3,15
O3191,P2000,3,43
O3491,P2005,9,31
O3207,P2001,4,7
O3235,P2031,6,1
O3289,P2005,1,32
O3124,P2060,3,15
O3356,P2046,7,42
O3115,P2049,4,44
O3153,P2019,2,23
O3350,P2022,8,46
O3423,P2004,3,45
O3434,P2070,4,34
O3041,P2091,7,32
O3334,P2094,5,43
O3439,P2083,8,6
O3332,P2053,6,11
O3388,P2028,3,21
O3016,P2041,7,2
O3047,P2031,9,16
O3207,P2053,5,29
O3194,P2092,5,31
O3193,P2040,4,10
O3282,P2034,2,10
O3243,P2009,5,3
O3028,P2073,7,11
O3326,P2047,1,35
O3004,P2015,4,10
O3359,P2064,6,14
O3087,P2086,4,33
O3042,P2006,4,31
O3255,P2022,2,12
O3432,P2028,6,40
O3222,P2066,6,11
O3330,P2005,9,42
O3401,P2051,4,8
O3169,P2008,4,41
O3289,P2059,9,13
O3439,P2036,8,3
O3498,P2099,6,2
O3048,P2039,5,35
O3458,P2041,2,27
O3270,P2011,2,22
O3470,P2070,4,8
O3021,P2058,8,25
O3117,P2001,2,3
O3108,P2047,7,33
O3461,P2025,7,19
O3444,P2037,4,17
O3354,P2072,8,1
O3454,P2038,1,6
O3290,P2094,7,12
O3243,P2079,3,15
O3138,P2031,3,29
O3023,P2059,2,2
O3473,P2047,4,39
O3038,P2075,5,27
O3350,P2063,1,12
O3473,P2098,2,47
O3143,P2099,2,35
O3460,P2025,5,5
O3278,P2093,5,8
O3288,P2069,2,13
O3336,P2097,3,19
O3016,P2031,9,1
O3091,P2019,1,40
O3475,P2000,8,32
O3435,P2052,9,28
O3161,P2003,5,41
O3008,P2029,2,49
O3492,P2069,5,11
O3106,P2044,2,19
O3300,P2081,7,45
O3073,P2088,8,17
O3385,P2001,5,23
O3420,P2042,5,48
O3364,P2000,2,36
O3420,P2097,3,41
O3203,P2084,4,35
O3475,P2048,7,39
O3039,P2094,9,11
O3153,P2093,7,21
O3083,P2039,6,46
O3288,P2013,7,23
O3123,P2026,3,39
O3290,P2067,8,46
O3427,P2030,2,28
O3434,P2053,8,10
O3199,P2062,9,34
O3346,P2007,4,24
O3459,P2018,1,49
O3276,P2091,3,43
O3169,P2035,7,20
O3196,P2011,5,4
O3386,P2005,3,11
O3378,P2029,3,42
O3071,P2066,2,37
O3404,P2052,9,39
O3352,P2089,6,36
O3370,P2047,3,29
O3040,P2058,3,21
O3256,P2095,9,45
O3381,P2010,8,25
O3498,P2074,4,36
O3177,P2012,2,11
O3027,P2064,2,41
O3050,P2017,1,42
O3223,P2081,3,11
O3118,P2050,1,32
O3429,P2009,4,2
O3038,P2075,9,30
O3174,P2072,6,45
O3309,P2007,1,37
O3393,P2055,2,38
O3314,P2084,5,5
O3488,P2016,1,30
O3304,P2030,9,4
O3203,P2037,5,13
O3496,P2033,5,9
O3396,P2040,8,16
O3167,P2050,5,32
O3015,P2089,7,39
O3324,P2094,3,17
O3139,P2041,8,15
O3401,P2040,6,10
O3230,P2057,3,0
O3251,P2034,6,12
O3116,P2029,7,15
O3182,P2009,8,19
O3283,P2025,3,21
O3481,P2017,2,30
O3192,P2099,7,30
O3221,P2098,5,36
O3095,P2074,8,18
O3348,P2013,3,26
O3299,P2019,8,13
O3338,P2013,8,31
O3194,P2021,4,12
O3043,P2057,2,28
O3395,P2059,3,19
O3316,P2040,6,43
O3151,P2052,8,14
O3408,P2015,1,43
O3126,P2068,6,17
O3365,P2045,1,38
O3037,P2098,4,37
O3042,P2026,8,14
O3137,P2057,5,16
O3078,P2039,4,26
O3194,P2059,4,7
O3364,P2033,1,8
O3401,P2015,6,16
O3324,P2011,4,25
O3078,P2020,8,6
O3378,P2087,2,6
O3199,P2038,2,45
O3162,P2090,1,1
O3184,P2089,3,35
O3054,P2077,7,44
O3046,P2005,3,39
O3002,P2027,5,39
O3482,P2041,9,4
O3157,P2018,3,47
O3227,P2011,2,14
O3184,P2091,3,17
O3389,P2031,5,6
O3138,P2045,5,1
O3052,P2050,9,45
O3067,P2065,8,35
O3044,P2006,1,9
O3095,P2086,1,3
O3220,P2038,8,39
O3229,P2033,6,41
O3285,P2022,8,4
O3284,P2003,6,4
O3262,P2051,7,36
O3208,P2057,8,45
O3052,P2071,6,42
O3013,P2095,7,26
O3045,P2070,3,25
O3181,P2031,2,44
O3283,P2012,5,13
O3047,P2059,9,9
O3305,P2013,7,12
O3306,P2017,6,42
O3401,P2015,3,15
O3166,P2001,3,21
O3442,P2007,4,27
O3197,P2099,5,16
O3006,P2028,1,15
O3149,P2016,9,17
O3211,P2025,6,38
O3198,P2051,9,10
O3398,P2047,7,48
O3043,P2087,5,39
O3371,P2080,3,11
O3461,P2082,6,8
O3286,P2010,9,5
O3463,P2074,8,7
O3124,P2075,8,22
O3292,P2033,4,19
O3266,P2009,9,49
O3086,P2002,9,11
O3350,P2008,8,6
O3194,P2025,1,8
O3086,P2082,5,46
O3071,P2056,1,49
O3137,P2016,1,0
O3154,P2011,3,15
O3137,P2042,5,14
O3252,P2015,4,16
O3074,P2005,7,30
O3032,P2059,2,43
O3085,P2006,8,45
O3222,P2021,6,13
O3141,P2073,4,19
O3215,P2055,1,45
O3153,P2092,2,23
O3247,P2050,7,24
O3400,P2063,9,46
O3039,P2003,2,45
O3184,P2048,2,27
O3128,P2087,8,17
O3483,P2054,2,32
O3126,P2022,9,6
O3369,P2045,4,8
O3320,P2027,5,41
O3253,P2023,6,5
O3304,P2035,3,37
O3315,P2035,9,26
O3100,P2057,1,29
O3234,P2019,5,37
O3054,P2004,2,23
O3069,P2078,6,18
O3155,P2079,2,46
O3003,P2078,7,8
O3485,P2031,8,18
O3202,P2082,3,49
O3170,P2037,9,41
O3430,P2063,3,49
O3317,P2052,3,13
O3194,P2070,9,45
O3411,P2061,5,30
O3441,P2007,3,23
O3168,P2011,9,31
O3225,P2035,7,1
O3171,P2049,3,38
O3220,P2017,7,25
O3417,P2053,4,3
O3421,P2025,2,13
O3440,P2082,5,45
O3333,P2067,6,14
O3498,P2031,1,27
O3304,P2080,6,28
O3069,P2069,6,41
O3153,P2002,6,12
O3164,P2048,3,12
O3308,P2091,7,5
O3485,P2045,8,3
O3355,P2061,1,21
O3102,P2069,9,0
O3245,P2062,8,2
O3160,P2044,1,39
O3090,P2072,8,18
O3493,P2064,9,41
O3203,P2041,2,28
O3495,P2049,1,28
O3163,P2034,4,17
O3149,P2023,7,21
O3376,P2003,3,10
O3355,P2040,8,12
O3324,P2076,2,49
O3251,P2028,1,27
O3495,P2003,2,6
O3294,P2099,1,42
O3400,P2035,3,32
O3124,P2007,6,8
O3166,P2060,4,35
O3192,P2067,2,27
O3143,P2045,5,34
O3418,P2098,6,11
O3402,P2074,8,15
O3201,P2029,5,4
O3186,P2020,2,41
O3058,P2012,3,26
O3477,P2031,5,11
O3288,P2084,1,10
O3102,P2030,5,37
O3303,P2034,2,43
O3279,P2068,8,31
O3092,P2094,9,6
O3349,P2007,1,28
O3393,P2097,4,35
O3281,P2028,9,36
O3013,P2073,3,24
O3487,P2049,6,46
O3372,P2045,9,8
O3236,P2022,3,42
O3482,P2022,6,40
O3362,P2030,4,3
O3107,P2075,8,28
O3224,P2040,9,41
O3408,P2094,9,41
O3149,P2089,1,44
O3425,P2045,1,24
O3354,P2075,8,41
O3035,P2003,2,44
O3419,P2090,1,17
O3434,P2089,9,5
O3407,P2045,2,1
O3407,P2072,8,1
O3209,P2072,5,36
O3344,P2018,4,44
O3255,P2072,3,17
O3071,P2024,3,45
O3324,P2063,8,4
O3155,P2069,9,48
O3123,P2039,2,4
O3129,P2022,6,39
O3337,P2062,6,38
O3078,P2004,3,21
O3366,P2011,9,32
O3216,P2007,1,42
O3404,P2029,7,9
O3193,P2077,7,41
O3037,P2028,8,0
O3229,P2002,7,20
O3306,P2067,9,23
O3245,P2061,3,30
O3298,P2000,4,49
O3205,P2042,4,44
O3273,P2078,7,19
O3259,P2025,2,21
O3472,P2016,3,13
O3471,P2043,7,34
O3445,P2091,2,26
O3354,P2022,6,49
O3214,P2041,9,16
O3278,P2007,6,20
O3018,P2002,3,37
O3404,P2018,9,42
O3495,P2075,1,25
O3184,P2090,1,16
O3359,P2018,7,33
O3458,P2099,9,33
O3415,P2014,4,37
O3274,P2067,1,8
O3304,P2046,5,17
O3326,P2009,6,16
O3468,P2047,6,12
O3043,P2090,7,1
O3055,P2084,2,14
O3393,P2050,5,1
O3127,P2075,9,40
O3336,P2012,1,38
O3340,P2043,8,8
O3181,P2038,3,7
O3085,P2041,2,48
O3331,P2017,7,0
O3313,P2020,9,0
O3022,P2093,6,19
O3288,P2055,4,15
O3330,P2081,2,47
O3346,P2062,1,7
O3331,P2083,9,28
O3204,P2040,5,26
O3495,P2022,5,31
O3385,P2090,6,8
O3169,P2071,8,30
O3494,P2088,7,2
O3407,P2078,2,7
O3220,P2045,2,10
O3054,P2028,1,2
O3005,P2085,5,46
O3050,P2075,7,43
O3132,P2022,6,38
O3113,P2048,7,10
O3261,P2039,1,21
O3382,P2093,1,18
O3265,P2088,2,40
O3285,P2037,4,3
O3297,P2016,2,26
O3352,P2022,6,44
O3294,P2093,4,4
O3113,P2000,6,40
O3228,P2089,6,36
O3191,P2073,8,39
O3200,P2050,2,23
O3237,P2098,8,22
O3395,P2072,7,22
O3347,P2004,1,6
O3301,P2023,8,49
O3353,P2077,5,4
O3256,P2040,4,25
O3077,P2078,3,29
O3176,P2028,8,6
O3012,P2081,7,36
O3247,P2072,3,7
O3053,P2013,7,1
O3151,P2063,6,38
O3212,P2018,3,6
O3471,P2042,6,47
O3492,P2095,3,31
O3043,P2009,3,12
O3059,P2030,9,7
O3425,P2044,4,14
O3481,P2040,1,8
O3373,P2021,6,14
O3072,P2081,3,22
O3178,P2011,1,5
O3159,P2090,3,37
O3175,P2085,1,6
O3233,P2081,6,6
O3401,P2093,6,1
O3105,P2042,3,35
O3266,P2057,9,41
O3247,P2001,6,33
O3178,P2033,3,26
O3243,P2026,8,11
O3049,P2031,5,23
O3224,P2088,8,14
O3369,P2008,3,25
O3356,P2044,9,5
O3231,P2032,6,3
O3163,P2013,6,30
O3034,P2092,8,28
O3153,P2000,3,48
O3022,P2006,7,39
O3414,P2049,3,47
O3363,P2056,4,35
O3058,P2093,1,31
O3011,P2053,8,5
O3434,P2021,6,44
O3175,P2052,7,28
O3331,P2063,5,9
O3055,P2048,3,8
O3346,P2044,5,7
O3409,P2069,1,10
O3084,P2048,5,29
O3476,P2012,5,33
O3379,P2061,5,2
O3124,P2073,7,27
O3264,P2083,6,20
O3089,P2097,7,15
O3282,P2087,1,4
O3081,P2028,8,42
O3169,P2020,4,19
O3286,P2057,5,26
O3218,P2009,4,8
O3490,P2004,8,36
O3236,P2037,5,49
O3118,P2002,5,15
O3408,P2040,9,14
O3207,P2033,7,41
O3322,P2013,8,5
O3094,P2009,1,26
O3095,P2043,7,10
O3327,P2021,4,30
O3336,P2048,9,32
O3221,P2020,7,2
O3202,P2093,6,42
O3014,P2009,5,18
O3377,P2070,2,39
O3314,P2011,1,16
O3452,P2043,5,18
O3101,P2076,1,22
O3230,P2078,9,48
O3303,P2061,3,35
O3219,P2090,1,6
O3199,P2003,9,47
O3002,P2055,9,45
O3360,P2083,1,40
O3109,P2021,5,34
O3105,P2077,6,12
O3142,P2055,6,47
O3385,P2020,6,5
O3360,P2006,6,5
O3414,P2012,2,27
O3407,P2042,8,34
O3032,P2026,9,42
O3295,P2024,6,16
O3052,P2052,1,16
O3409,P2089,7,26
O3446,P2070,7,3
O3274,P2092,4,10
O3095,P2093,3,8
O3187,P2069,3,28
O3166,P2033,1,17
O3100,P2084,5,3
O3234,P2036,3,27
O3058,P2038,4,33
O3134,P2030,7,21
O3343,P2012,5,42
O3441,P2006,4,2
O3250,P2050,1,11
O3270,P2073,5,49
O3494,P2070,4,9
O3327,P2062,5,34
O3160,P2019,5,35
O3305,P2006,9,16
O3198,P2046,1,21
O3312,P2000,2,2
O3200,P2054,7,24
O3300,P2011,7,28
O3058,P2037,2,29
O3178,P2084,6,24
O3180,P2080,3,46
O3432,P2076,5,10
O3234,P2061,7,23
O3316,P2025,5,32
O3088,P2012,4,31
O3416,P2003,7,25
O3344,P2026,6,30
O3361,P2021,8,28
O3409,P2081,4,22
O3152,P2037,1,0
O3470,P2010,6,43
O3314,P2060,3,4
O3302,P2014,5,45
O3043,P2039,9,13
O3344,P2050,5,4
O3068,P2060,6,10
O3160,P2062,7,49
O3060,P2084,2,27
O3122,P2033,2,17
