customer_id,full_name,gender,age,city,registration_date
C1043,Customer 43,Male,29,Shaki,2023-09-23
C1044,Customer 44,Male,26,Baku,2022-02-15
C1045,Customer 45,Male,47,Ganja,2023-10-19
C1046,Customer 46,Female,47,Lankaran,2024-03-12
C1047,Customer 47,Male,52,Baku,2020-12-22
C1048,Customer 48,Male,65,Shaki,2023-06-14
C1049,Customer 49,Male,56,Ganja,2023-03-11
C1050,Customer 50,Female,25,Shaki,2021-09-08
C1051,Customer 51,Female,54,Shaki,2022-04-11
C1052,Customer 52,Female,40,Baku,2023-01-27
C1053,Customer 53,Female,24,Shaki,2024-09-03
C1054,Customer 54,Male,37,Baku,2020-01-01
C1055,Customer 55,Female,22,Lankaran,2021-09-14
C1056,Customer 56,Female,24,Shaki,2021-08-10
C1057,Customer 57,Male,42,Shaki,2021-03-06
C1058,Customer 58,Female,43,Shaki,2022-05-30
C1059,Customer 59,Male,46,Sumqayit,2024-05-28
C1060,Customer 60,Male,24,Sumqayit,2023-04-02
C1061,Customer 61,Male,48,Ganja,2023-05-27
C1062,Customer 62,Male,38,Sumqayit,2023-09-02
C1063,Customer 63,Female,32,Ganja,2021-10-21
C1064,Customer 64,Female,52,Sumqayit,2022-08-10
C1065,Customer 65,Female,23,Lankaran,2022-06-23
C1066,Customer 66,Male,20,Ganja,2022-06-24
C1067,Customer 67,Female,59,Sumqayit,2023-10-15
C1068,Customer 68,Male,63,Lankaran,2021-03-13
C1069,Customer 69,Male,18,Sumqayit,2022-11-12
C1070,Customer 70,Male,64,Baku,2022-08-27
C1071,Customer 71,Female,31,Baku,2024-06-13
C1072,Customer 72,Female,44,Lankaran,2024-06-18
C1073,Customer 73,Female,46,Shaki,2024-02-16
C1074,Customer 74,Male,21,Shaki,2020-12-13
C1075,Customer 75,Male,26,Baku,2023-09-11
C1076,Customer 76,Female,24,Baku,2020-06-22
C1077,Customer 77,Male,67,Shaki,2021-08-04
C1078,Customer 78,Female,18,Ganja,2022-11-21
C1079,Customer 79,Female,29,Shaki,2023-09-21
C1080,Customer 80,Female,29,Sumqayit,2023-07-20
C1081,Customer 81,Male,49,Ganja,2023-06-22
C1082,Customer 82,Female,64,Sumqayit,2021-11-17
C1083,Customer 83,Male,22,Baku,2020-07-10
C1084,Customer 84,Male,35,Ganja,2024-08-03
C1085,Customer 85,Female,48,Sumqayit,2024-03-18
C1086,Customer 86,Female,42,Sumqayit,2021-04-26
C1087,Customer 87,Female,59,Ganja,2023-10-09
C1088,Customer 88,Female,21,Lankaran,2021-09-27
C1089,Customer 89,Male,65,Shaki,2021-04-05
C1090,Customer 90,Male,49,Sumqayit,2024-07-09
C1091,Customer 91,Female,31,Shaki,2021-02-11
C1092,Customer 92,Male,68,Shaki,2020-10-28
C1093,Customer 93,Male,22,Baku,2020-02-20
C1094,Customer 94,Male,23,Shaki,2020-04-04
C1095,Customer 95,Male,32,Sumqayit,2021-05-16
C1096,Customer 96,Male,30,Baku,2022-08-31
C1097,Customer 97,Female,21,Ganja,2023-06-05
C1098,Customer 98,Male,21,Sumqayit,2024-10-06
C1099,Customer 99,Female,22,Baku,2024-04-22
C1100,Customer 100,Female,25,Baku,2020-05-29
C1101,Customer 101,Female,69,Shaki,2022-07-21
C1102,Customer 102,Female,26,Ganja,2022-04-28
C1103,Customer 103,Male,53,Sumqayit,2023-07-13
C1104,Customer 104,Male,47,Sumqayit,2023-03-24
C1105,Customer 105,Female,29,Shaki,2021-02-02
C1106,Customer 106,Female,47,Ganja,2024-01-11
C1107,Customer 107,Male,42,Sumqayit,2023-11-27
C1108,Customer 108,Female,35,Ganja,2022-02-25
C1109,Customer 109,Female,21,Sumqayit,2022-10-09
C1110,Customer 110,Male,18,Shaki,2022-03-29
C1111,Customer 111,Female,64,Lankaran,2021-05-14
C1112,Customer 112,Male,40,Sumqayit,2020-10-29
C1113,Customer 113,Female,21,Baku,2023-09-05
C1114,Customer 114,Male,28,Baku,2023-11-09
C1115,Customer 115,Male,18,Lankaran,2020-01-12
C1116,Customer 116,Female,47,Sumqayit,2024-03-17
C1117,Customer 117,Male,60,Baku,2024-10-28
C1118,Customer 118,Male,28,Baku,2024-04-26
C1119,Customer 119,Female,60,Sumqayit,2020-08-06
C1120,Customer 120,Male,31,Ganja,2024-05-13
C1121,Customer 121,Male,49,Sumqayit,2022-05-20
C1122,Customer 122,Female,34,Ganja,2021-03-24
C1123,Customer 123,Female,42,Lankaran,2020-12-26
C1124,Customer 124,Male,18,Shaki,2024-07-04
C1125,Customer 125,Male,60,Lankaran,2023-11-26
C1126,Customer 126,Female,58,Shaki,2022-11-26
C1127,Customer 127,Female,53,Baku,2022-08-09
C1128,Customer 128,Male,63,Baku,2020-04-12
C1129,Customer 129,Male,40,Baku,2023-02-15
C1130,Customer 130,Male,59,Ganja,2021-05-25
C1131,Customer 131,Male,24,Shaki,2024-10-03
C1132,Customer 132,Male,32,Baku,2020-09-05
C1133,Customer 133,Female,22,Sumqayit,2022-07-23
C1134,Customer 134,Male,40,Shaki,2020-09-30
C1135,Customer 135,Male,46,Shaki,2024-06-29
C1136,Customer 136,Male,49,Ganja,2022-08-09
C1137,Customer 137,Female,18,Lankaran,2023-09-29
C1138,Customer 138,Male,34,Ganja,2022-12-23
C1139,Customer 139,Female,51,Baku,2023-02-18
C1140,Customer 140,Female,27,Sumqayit,2023-05-04
C1141,Customer 141,Male,21,Sumqayit,2021-10-11
C1142,Customer 142,Male,27,Baku,2024-03-26
C1143,Customer 143,Female,19,Sumqayit,2022-06-25
C1144,Customer 144,Female,38,Ganja,2023-06-08
C1145,Customer 145,Female,26,Ganja,2024-07-27
C1146,Customer 146,Female,33,Baku,2024-01-13
C1147,Customer 147,Female,52,Sumqayit,2022-10-30
C1148,Customer 148,Male,30,Shaki,2022-05-23
C1149,Customer 149,Male,55,Lankaran,2024-08-28
C1150,Customer 150,Male,48,Shaki,2023-01-27
C1151,Customer 151,Male,58,Ganja,2022-07-02
C1152,Customer 152,Female,47,Ganja,2020-11-21
C1153,Customer 153,Male,18,Ganja,2024-03-03
C1154,Customer 154,Male,61,Ganja,2024-10-30
C1155,Customer 155,Male,61,Lankaran,2022-08-30
C1156,Customer 156,Male,22,Baku,2022-07-10
C1157,Customer 157,Male,41,Ganja,2021-06-14
C1158,Customer 158,Male,32,Sumqayit,2024-03-19
C1159,Customer 159,Male,48,Lankaran,2021-05-21
C1160,Customer 160,Male,44,Ganja,2024-09-16
C1161,Customer 161,Male,46,Sumqayit,2023-07-29
C1162,Customer 162,Female,40,Ganja,2021-07-21
C1163,Customer 163,Male,51,Baku,2024-04-17
C1164,Customer 164,Male,20,Lankaran,2024-05-11
C1165,Customer 165,Female,31,Baku,2022-12-03
C1166,Customer 166,Female,30,Lankaran,2022-09-19
C1167,Customer 167,Male,52,Ganja,2023-07-07
C1168,Customer 168,Male,23,Ganja,2021-05-04
C1169,Customer 169,Female,59,Lankaran,2021-07-16
C1170,Customer 170,Male,34,Sumqayit,2022-06-19
C1171,Customer 171,Female,20,Sumqayit,2020-06-07
C1172,Customer 172,Female,25,Ganja,2024-01-01
C1173,Customer 173,Male,61,Ganja,2021-08-08
C1174,Customer 174,Male,63,Baku,2021-04-25
C1175,Customer 175,Male,56,Ganja,2021-07-10
C1176,Customer 176,Female,28,Lankaran,2021-11-18
C1177,Customer 177,Female,26,Sumqayit,2021-10-16
C1178,Customer 178,Female,38,Sumqayit,2023-01-11
C1179,Customer 179,Female,68,Baku,2020-06-14
C1180,Customer 180,Female,60,Sumqayit,2020-10-10
C1181,Customer 181,Male,32,Sumqayit,2020-11-04
C1182,Customer 182,Male,22,Shaki,2021-04-18
C1183,Customer 183,Male,57,Lankaran,2022-02-23
C1184,Customer 184,Female,46,Shaki,2023-11-22
C1185,Customer 185,Female,27,Sumqayit,2020-11-08
C1186,Customer 186,Male,54,Baku,2023-12-17
C1187,Customer 187,Male,20,Baku,2021-03-14
C1188,Customer 188,Male,29,Sumqayit,2020-05-11
C1189,Customer 189,Male,58,Ganja,2022-04-29
C1190,Customer 190,Female,40,Shaki,2022-04-14
C1191,Customer 191,Male,39,Sumqayit,2021-11-08
C1192,Customer 192,Female,27,Baku,2023-01-16
C1193,Customer 193,Male,53,Baku,2022-08-12
C1194,Customer 194,Female,26,Shaki,2022-05-01
C1195,Customer 195,Female,22,Lankaran,2020-05-07
C1196,Customer 196,Male,18,Sumqayit,2021-02-27
C1197,Customer 197,Male,31,Sumqayit,2024-09-01
C1198,Customer 198,Female,44,Lankaran,2022-05-10
C1199,Customer 199,Male,34,Shaki,2022-03-08
