order_id,customer_id,order_date,payment_method,status
O3067,C1194,2022-09-25,Cash,Returned
O3068,C1061,2023-06-22,Transfer,Cancelled
O3069,C1176,2021-03-10,Transfer,Returned
O3070,C1121,2024-04-01,Card,Completed
O3071,C1165,2023-01-18,Transfer,Returned
O3072,C1182,2021-09-27,Transfer,Cancelled
O3073,C1125,2021-07-04,Cash,Returned
O3074,C1114,2022-08-28,Card,Returned
O3075,C1004,2022-11-01,Cash,Completed
O3076,C1023,2023-05-01,Card,Cancelled
O3077,C1075,2021-12-26,Transfer,Returned
O3078,C1056,2022-02-16,Transfer,Returned
O3079,C1103,2021-09-28,Cash,Cancelled
O3080,C1177,2024-01-10,Cash,Returned
O3081,C1062,2023-01-20,Cash,Cancelled
O3082,C1078,2023-12-24,Transfer,Cancelled
O3083,C1169,2023-10-25,Transfer,Completed
O3084,C1148,2022-07-13,Transfer,Returned
O3085,C1094,2021-12-03,Card,Cancelled
O3086,C1121,2022-06-11,Cash,Cancelled
O3087,C1141,2023-09-14,Card,Cancelled
O3088,C1135,2022-08-28,Transfer,Completed
O3089,C1088,2022-11-25,Transfer,Returned
O3090,C1108,2021-08-24,Card,Completed
O3091,C1190,2023-08-18,Cash,Completed
O3092,C1140,2021-06-04,Cash,Cancelled
O3093,C1084,2021-10-16,Transfer,Cancelled
O3094,C1090,2022-04-08,Transfer,Cancelled
O3095,C1179,2024-10-17,Transfer,Cancelled
O3096,C1116,2024-10-13,Cash,Completed
O3097,C1069,2023-03-25,Card,Cancelled
O3098,C1078,2024-02-16,Transfer,Returned
O3099,C1064,2023-01-20,Transfer,Completed
O3100,C1059,2021-07-04,Card,Cancelled
O3101,C1030,2023-03-20,Cash,Returned
O3102,C1184,2021-01-29,Transfer,Cancelled
O3103,C1049,2022-06-26,Cash,Returned
O3104,C1080,2024-01-04,Transfer,Cancelled
O3105,C1030,2021-09-11,Cash,Cancelled
O3106,C1190,2023-07-21,Card,Completed
O3107,C1137,2023-01-25,Transfer,Cancelled
O3108,C1195,2024-10-09,Transfer,Returned
O3109,C1176,2024-10-08,Transfer,Returned
O3110,C1047,2022-06-21,Transfer,Completed
O3111,C1049,2024-04-12,Transfer,Cancelled
O3112,C1055,2023-02-20,Card,Completed
O3113,C1189,2024-07-31,Transfer,Cancelled
O3114,C1123,2023-01-31,Transfer,Completed
O3115,C1070,2021-08-10,Cash,Cancelled
O3116,C1185,2024-10-14,Transfer,Cancelled
O3117,C1150,2022-04-24,Cash,Completed
O3118,C1194,2023-08-24,Card,Completed
O3119,C1134,2021-02-21,Cash,Completed
O3120,C1152,2024-06-22,Cash,Completed
O3121,C1072,2024-02-24,Card,Cancelled
O3122,C1025,2022-11-03,Card,Cancelled
O3123,C1049,2024-06-03,Cash,Returned
O3124,C1075,2022-03-30,Cash,Cancelled
O3125,C1058,2024-08-19,Card,Completed
O3126,C1092,2021-05-10,Card,Completed
O3127,C1045,2024-07-25,Card,Cancelled
O3128,C1077,2023-08-09,Card,Returned
O3129,C1003,2022-09-11,Card,Returned
O3130,C1181,2024-08-22,Cash,Cancelled
O3131,C1136,2023-04-17,Card,Completed
O3132,C1032,2021-08-27,Transfer,Completed
O3133,C1070,2021-10-14,Transfer,Cancelled
O3134,C1011,2021-04-03,Transfer,Returned
O3135,C1013,2021-03-18,Transfer,Cancelled
O3136,C1141,2022-09-16,Card,Cancelled
O3137,C1074,2023-10-06,Transfer,Cancelled
O3138,C1178,2021-08-26,Cash,Cancelled
O3139,C1032,2021-07-19,Transfer,Completed
O3140,C1163,2022-04-26,Card,Completed
O3141,C1192,2024-01-06,Transfer,Cancelled
O3142,C1125,2021-10-05,Cash,Returned
O3143,C1026,2023-03-07,Card,Cancelled
O3144,C1003,2023-07-19,Card,Completed
O3145,C1146,2023-01-30,Card,Completed
O3146,C1072,2024-10-05,Transfer,Returned
O3147,C1120,2024-01-12,Transfer,Cancelled
O3148,C1122,2023-05-09,Card,Completed
O3149,C1112,2024-04-17,Transfer,Completed
O3150,C1087,2021-11-13,Cash,Cancelled
O3151,C1047,2023-04-30,Card,Cancelled
O3152,C1013,2024-09-03,Cash,Returned
O3153,C1064,2021-07-22,Cash,Returned
O3154,C1122,2023-09-30,Transfer,Returned
O3155,C1029,2024-06-14,Transfer,Cancelled
O3156,C1016,2023-04-16,Card,Cancelled
O3157,C1102,2022-07-27,Cash,Returned
O3158,C1125,2021-03-09,Transfer,Completed
O3159,C1018,2023-01-29,Cash,Completed
O3160,C1147,2022-03-21,Transfer,Cancelled
O3161,C1161,2023-06-28,Cash,Completed
O3162,C1175,2023-06-30,Card,Cancelled
O3163,C1013,2022-04-29,Transfer,Returned
O3164,C1038,2023-01-13,Card,Cancelled
O3165,C1038,2021-07-23,Cash,Cancelled
O3166,C1144,2023-01-23,Cash,Cancelled
O3167,C1077,2024-01-21,Card,Completed
O3168,C1021,2024-08-13,Cash,Cancelled
O3169,C1063,2023-01-05,Transfer,Completed
O3170,C1030,2021-05-05,Transfer,Returned
O3171,C1142,2023-03-27,Cash,Returned
O3172,C1195,2022-07-20,Cash,Completed
O3173,C1106,2022-01-24,Cash,Cancelled
O3174,C1155,2021-09-08,Cash,Returned
O3175,C1152,2023-07-21,Transfer,Cancelled
O3176,C1158,2021-07-07,Transfer,Completed
O3177,C1057,2024-09-19,Cash,Cancelled
O3178,C1198,2022-03-11,Card,Returned
O3179,C1133,2024-08-07,Card,Cancelled
O3180,C1097,2024-08-02,Transfer,Returned
O3181,C1115,2024-05-07,Card,Cancelled
O3182,C1113,2021-02-13,Cash,Returned
O3183,C1076,2021-04-14,Card,Returned
O3184,C1150,2022-11-15,Transfer,Returned
O3185,C1109,2022-05-14,Cash,Completed
O3186,C1078,2021-09-15,Cash,Completed
O3187,C1145,2024-03-02,Transfer,Completed
O3188,C1158,2022-02-25,Card,Cancelled
O3189,C1015,2021-05-21,Transfer,Cancelled
O3190,C1156,2024-02-10,Transfer,Cancelled
O3191,C1189,2022-03-01,Card,Returned
O3192,C1025,2024-04-15,Cash,Cancelled
O3193,C1195,2022-03-19,Card,Completed
O3194,C1053,2022-04-23,Card,Completed
O3195,C1160,2022-11-04,Cash,Returned
O3196,C1054,2021-10-30,Cash,Returned
O3197,C1067,2024-05-05,Transfer,Cancelled
O3198,C1169,2021-01-06,Card,Returned
O3199,C1020,2022-07-22,Cash,Completed
O3200,C1040,2021-10-24,Card,Completed
O3201,C1061,2021-09-24,Card,Completed
O3202,C1044,2024-01-12,Cash,Completed
O3203,C1141,2022-05-29,Cash,Returned
O3204,C1019,2021-12-24,Card,Cancelled
O3205,C1040,2021-08-14,Cash,Cancelled
O3206,C1000,2024-09-15,Card,Returned
O3207,C1104,2021-02-22,Cash,Cancelled
O3208,C1115,2021-09-27,Transfer,Completed
O3209,C1176,2021-01-31,Cash,Returned
O3210,C1152,2023-01-04,Card,Returned
O3211,C1120,2022-05-03,Cash,Completed
O3212,C1074,2024-04-20,Card,Cancelled
O3213,C1008,2022-10-26,Cash,Returned
O3214,C1059,2021-02-02,Card,Cancelled
O3215,C1073,2021-12-23,Card,Completed
O3216,C1180,2022-06-28,Cash,Cancelled
O3217,C1072,2021-04-18,Card,Returned
O3218,C1179,2021-09-17,Transfer,Returned
O3219,C1116,2023-05-13,Transfer,Cancelled
O3220,C1018,2023-12-14,Cash,Returned
O3221,C1175,2021-08-21,Card,Cancelled
O3222,C1059,2021-05-11,Card,Returned
O3223,C1067,2023-09-03,Card,Returned
O3224,C1160,2023-07-08,Cash,Returned
O3225,C1150,2023-01-12,Cash,Cancelled
O3226,C1169,2023-11-18,Transfer,Returned
O3227,C1050,2024-04-30,Card,Returned
O3228,C1108,2021-08-12,Transfer,Cancelled
O3229,C1029,2023-07-15,Cash,Cancelled
O3230,C1139,2023-10-29,Cash,Completed
O3231,C1057,2022-03-30,Transfer,Cancelled
O3232,C1165,2024-06-13,Card,Cancelled
O3233,C1038,2021-03-30,Card,Returned
O3234,C1068,2024-09-11,Card,Completed
O3235,C1036,2023-12-04,Cash,Cancelled
O3236,C1018,2022-09-10,Card,Returned
O3237,C1015,2023-07-28,Card,Cancelled
O3238,C1042,2024-08-10,Transfer,Returned
O3239,C1078,2021-03-05,Transfer,Returned
O3240,C1152,2021-05-05,Transfer,Returned
O3241,C1191,2023-09-08,Transfer,Completed
O3242,C1145,2023-04-03,Cash,Returned
O3243,C1073,2023-05-24,Card,Cancelled
O3244,C1112,2021-08-10,Cash,Cancelled
O3245,C1031,2023-10-02,Card,Returned
O3246,C1119,2023-06-28,Cash,Returned
O3247,C1176,2021-05-31,Card,Returned
O3248,C1077,2021-06-15,Card,Completed
O3249,C1179,2022-10-22,Card,Returned
O3250,C1103,2024-05-30,Cash,Completed
O3251,C1069,2021-10-31,Transfer,Returned
O3252,C1128,2021-05-15,Transfer,Cancelled
O3253,C1138,2021-09-16,Cash,Completed
O3254,C1126,2022-07-18,Card,Returned
O3255,C1112,2024-07-02,Card,Returned
O3256,C1020,2024-07-20,Cash,Returned
O3257,C1153,2024-04-13,Transfer,Returned
O3258,C1010,2024-01-29,Transfer,Cancelled
O3259,C1110,2022-10-28,Card,Completed
O3260,C1188,2023-02-20,Transfer,Returned
O3261,C1082,2024-05-08,Transfer,Completed
O3262,C1154,2023-12-23,Transfer,Completed
O3263,C1064,2022-08-27,Card,Returned
O3264,C1006,2023-07-19,Transfer,Returned
O3265,C1023,2023-11-02,Card,Completed
O3266,C1058,2024-05-24,Cash,Completed
O3267,C1172,2023-06-01,Cash,Completed
O3268,C1147,2021-07-23,Card,Cancelled
O3269,C1150,2021-08-23,Transfer,Cancelled
O3270,C1005,2024-09-02,Cash,Cancelled
O3271,C1195,2024-08-26,Card,Completed
O3272,C1172,2024-02-04,Transfer,Cancelled
O3273,C1068,2022-03-17,Cash,Returned
O3274,C1147,2023-05-31,Card,Completed
O3275,C1010,2023-07-14,Transfer,Cancelled
O3276,C1195,2022-04-13,Transfer,Returned
O3277,C1193,2023-04-28,Card,Returned
O3278,C1044,2022-11-26,Transfer,Cancelled
O3279,C1120,2023-07-18,Cash,Returned
O3280,C1132,2023-03-28,Card,Returned
O3281,C1166,2023-05-02,Transfer,Completed
O3282,C1113,2021-07-14,Transfer,Returned
O3283,C1071,2022-10-03,Transfer,Completed
O3284,C1046,2023-05-25,Transfer,Returned
O3285,C1149,2022-10-03,Transfer,Completed
O3286,C1111,2024-09-24,Card,Returned
O3287,C1162,2022-06-07,Cash,Cancelled
O3288,C1125,2023-02-06,Cash,Returned
O3289,C1023,2021-11-09,Card,Cancelled
O3290,C1120,2023-08-30,Transfer,Returned
O3291,C1089,2021-05-18,Cash,Cancelled
O3292,C1104,2021-07-06,Cash,Cancelled
O3293,C1085,2021-06-24,Cash,Completed
O3294,C1082,2021-07-10,Transfer,Cancelled
O3295,C1171,2023-06-04,Card,Returned
O3296,C1026,2021-07-17,Cash,Cancelled
O3297,C1041,2023-02-03,Card,Returned
O3298,C1084,2021-09-24,Cash,Cancelled
O3299,C1105,2024-02-14,Card,Returned
O3300,C1177,2021-05-03,Transfer,Returned
O3301,C1126,2024-04-16,Transfer,Returned
O3302,C1073,2024-02-25,Transfer,Returned
O3303,C1169,2024-02-25,Card,Returned
O3304,C1102,2022-11-07,Transfer,Cancelled
O3305,C1194,2024-10-04,Transfer,Returned
O3306,C1140,2021-09-08,Cash,Cancelled
O3307,C1009,2023-04-22,Card,Completed
O3308,C1116,2022-12-26,Card,Completed
O3309,C1022,2024-09-24,Cash,Cancelled
O3310,C1080,2023-05-17,Transfer,Returned
O3311,C1064,2021-04-16,Cash,Cancelled
O3312,C1082,2022-08-13,Transfer,Completed
O3313,C1029,2024-05-14,Card,Cancelled
O3314,C1197,2022-10-02,Transfer,Cancelled
O3315,C1103,2022-12-22,Cash,Returned
O3316,C1131,2021-08-01,Transfer,Completed
O3317,C1000,2024-03-29,Cash,Returned
O3318,C1168,2023-11-06,Transfer,Returned
O3319,C1138,2022-03-12,Card,Cancelled
O3320,C1118,2021-11-13,Card,Cancelled
O3321,C1105,2024-09-06,Card,Cancelled
O3322,C1013,2023-09-15,Transfer,Cancelled
O3323,C1048,2022-04-05,Cash,Returned
O3324,C1132,2021-08-10,Card,Returned
O3325,C1092,2022-12-19,Cash,Cancelled
O3326,C1159,2024-02-14,Card,Cancelled
O3327,C1193,2023-01-23,Card,Completed
O3328,C1127,2021-08-24,Card,Returned
O3329,C1160,2022-07-25,Card,Returned
O3330,C1113,2024-03-21,Cash,Returned
O3331,C1194,2022-04-09,Cash,Cancelled
O3332,C1013,2023-05-29,Transfer,Cancelled
O3333,C1052,2024-02-23,Cash,Cancelled
O3334,C1068,2024-06-27,Transfer,Completed
O3335,C1140,2024-06-10,Cash,Cancelled
O3336,C1033,2024-10-14,Cash,Completed
O3337,C1073,2024-08-09,Card,Cancelled
O3338,C1112,2024-02-15,Transfer,Returned
O3339,C1178,2021-02-23,Card,Completed
O3340,C1124,2024-06-01,Cash,Cancelled
O3341,C1031,2024-09-09,Cash,Cancelled
O3342,C1007,2022-07-02,Card,Returned
O3343,C1161,2021-03-01,Transfer,Cancelled
O3344,C1155,2022-01-05,Cash,Returned
O3345,C1061,2022-07-14,Cash,Cancelled
O3346,C1181,2022-09-25,Card,Completed
O3347,C1040,2022-11-27,Cash,Completed
O3348,C1079,2022-12-20,Cash,Returned
O3349,C1141,2021-01-13,Cash,Cancelled
O3350,C1003,2022-01-07,Transfer,Returned
O3351,C1141,2021-10-21,Cash,Returned
O3352,C1104,2024-03-05,Cash,Cancelled
O3353,C1023,2024-09-08,Cash,Completed
O3354,C1057,2023-04-01,Card,Completed
O3355,C1029,2021-05-23,Cash,Returned
O3356,C1118,2021-10-18,Transfer,Returned
O3357,C1030,2024-07-20,Cash,Returned
O3358,C1165,2021-03-04,Cash,Completed
O3359,C1039,2021-07-07,Transfer,Completed
O3360,C1127,2023-12-23,Cash,Completed
O3361,C1183,2022-03-17,Card,Returned
O3362,C1074,2023-02-10,Transfer,Returned
O3363,C1130,2023-05-10,Cash,Completed
O3364,C1180,2023-07-19,Card,Returned
O3365,C1069,2022-11-30,Cash,Completed
O3366,C1106,2021-11-19,Transfer,Completed
O3367,C1123,2023-01-28,Card,Completed
O3368,C1120,2022-10-01,Transfer,Cancelled
O3369,C1062,2022-10-27,Cash,Cancelled
O3370,C1116,2024-03-08,Cash,Returned
O3371,C1141,2024-05-06,Card,Cancelled
O3372,C1037,2021-06-23,Card,Completed
O3373,C1098,2021-04-18,Cash,Returned
O3374,C1048,2021-11-15,Transfer,Completed
O3375,C1153,2021-11-19,Cash,Completed
O3376,C1130,2024-06-19,Cash,Returned
O3377,C1191,2021-04-12,Cash,Completed
O3378,C1034,2024-10-12,Transfer,Cancelled
O3379,C1017,2021-06-17,Transfer,Returned
O3380,C1070,2022-07-12,Cash,Cancelled
O3381,C1197,2023-06-27,Card,Cancelled
O3382,C1106,2024-09-17,Transfer,Returned
O3383,C1087,2023-05-19,Cash,Completed
O3384,C1129,2023-09-22,Cash,Cancelled
O3385,C1068,2024-05-28,Cash,Cancelled
O3386,C1000,2023-06-25,Card,Cancelled
O3387,C1072,2023-04-29,Transfer,Returned
O3388,C1185,2022-07-14,Cash,Completed
O3389,C1076,2022-03-18,Transfer,Completed
O3390,C1150,2023-11-16,Cash,Returned
O3391,C1148,2021-08-22,Cash,Returned
O3392,C1168,2022-12-08,Transfer,Completed
O3393,C1125,2023-05-31,Card,Returned
O3394,C1038,2021-08-16,Card,Returned
O3395,C1114,2022-08-04,Transfer,Returned
O3396,C1137,2024-10-20,Transfer,Completed
O3397,C1123,2024-10-21,Cash,Completed
O3398,C1088,2024-04-29,Cash,Cancelled
O3399,C1085,2023-09-24,Transfer,Completed
O3400,C1141,2023-12-16,Transfer,Completed
O3401,C1195,2024-09-28,Transfer,Cancelled
O3402,C1139,2022-09-24,Card,Cancelled
O3403,C1096,2021-04-04,Card,Completed
O3404,C1116,2022-03-28,Card,Returned
O3405,C1082,2023-03-21,Transfer,Cancelled
O3406,C1048,2024-05-12,Transfer,Completed
O3407,C1178,2021-04-23,Cash,Completed
O3408,C1061,2021-01-16,Card,Cancelled
O3409,C1146,2022-02-23,Card,Returned
O3410,C1098,2022-09-10,Card,Returned
O3411,C1059,2022-03-09,Card,Completed
O3412,C1198,2021-10-09,Transfer,Cancelled
O3413,C1105,2022-06-08,Cash,Cancelled
O3414,C1011,2022-08-16,Cash,Cancelled
O3415,C1081,2022-11-03,Cash,Returned
O3416,C1190,2021-09-03,Transfer,Returned
O3417,C1121,2021-01-16,Card,Returned
O3418,C1180,2023-10-16,Transfer,Cancelled
O3419,C1097,2023-06-01,Card,Completed
O3420,C1098,2021-12-26,Transfer,Returned
O3421,C1169,2021-09-22,Cash,Cancelled
O3422,C1166,2023-02-18,Cash,Cancelled
O3423,C1038,2023-12-27,Cash,Completed
O3424,C1126,2022-04-17,Cash,Completed
O3425,C1009,2023-10-22,Card,Cancelled
O3426,C1032,2024-02-19,Transfer,Completed
O3427,C1128,2024-09-30,Card,Returned
O3428,C1151,2022-12-27,Transfer,Cancelled
O3429,C1084,2021-05-28,Cash,Returned
O3430,C1025,2023-03-25,Cash,Cancelled
O3431,C1112,2021-03-28,Cash,Returned
O3432,C1025,2023-06-13,Transfer,Completed
O3433,C1134,2021-02-08,Cash,Completed
O3434,C1116,2023-07-31,Card,Returned
O3435,C1003,2021-06-09,Card,Cancelled
O3436,C1184,2022-10-04,Card,Cancelled
O3437,C1036,2024-03-25,Transfer,Returned
O3438,C1104,2023-05-30,Card,Returned
O3439,C1167,2024-03-20,Cash,Completed
O3440,C1039,2023-04-09,Transfer,Completed
O3441,C1019,2024-08-04,Cash,Returned
O3442,C1120,2023-05-06,Transfer,Returned
O3443,C1067,2022-08-16,Card,Cancelled
O3444,C1086,2021-08-24,Cash,Cancelled
O3445,C1159,2023-04-10,Cash,Returned
O3446,C1177,2021-02-12,Transfer,Cancelled
O3447,C1101,2022-10-28,Cash,Completed
O3448,C1166,2021-12-18,Card,Cancelled
O3449,C1020,2024-06-19,Transfer,Returned
O3450,C1084,2023-08-01,Cash,Completed
O3451,C1172,2023-01-12,Transfer,Completed
O3452,C1136,2021-06-30,Cash,Completed
O3453,C1097,2023-06-14,Card,Cancelled
O3454,C1081,2021-08-05,Card,Cancelled
O3455,C1160,2022-05-14,Card,Completed
O3456,C1183,2023-06-12,Card,Completed
O3457,C1194,2024-04-21,Cash,Cancelled
O3458,C1124,2023-04-01,Card,Cancelled
O3459,C1138,2023-12-10,Transfer,Completed
O3460,C1009,2021-06-11,Cash,Cancelled
O3461,C1158,2023-03-22,Card,Cancelled
O3462,C1017,2022-09-28,Transfer,Cancelled
O3463,C1060,2022-11-27,Cash,Cancelled
O3464,C1161,2022-03-30,Transfer,Returned
O3465,C1175,2022-11-14,Cash,Returned
O3466,C1073,2021-12-11,Transfer,Returned
O3467,C1058,2021-06-06,Card,Completed
O3468,C1191,2023-11-12,Transfer,Cancelled
O3469,C1023,2024-07-20,Transfer,Returned
O3470,C1111,2021-08-22,Cash,Cancelled
O3471,C1025,2023-12-23,Cash,Returned
O3472,C1194,2023-11-11,Card,Completed
O3473,C1162,2022-02-02,Transfer,Completed
O3474,C1180,2022-12-17,Transfer,Returned
O3475,C1025,2022-12-21,Transfer,Completed
O3476,C1113,2024-08-14,Transfer,Cancelled
O3477,C1042,2021-10-30,Card,Cancelled
O3478,C1177,2022-04-29,Cash,Completed
O3479,C1076,2021-07-30,Transfer,Cancelled
O3480,C1007,2021-10-27,Card,Returned
O3481,C1011,2022-06-09,Card,Returned
O3482,C1083,2022-02-09,Card,Returned
O3483,C1014,2021-12-22,Card,Cancelled
O3484,C1075,2024-05-18,Card,Returned
O3485,C1091,2021-11-10,Cash,Completed
O3486,C1095,2024-09-04,Card,Returned
O3487,C1110,2021-06-04,Cash,Cancelled
O3488,C1037,2021-12-29,Transfer,Cancelled
O3489,C1062,2024-07-10,Transfer,Returned
O3490,C1135,2023-10-09,Cash,Completed
O3491,C1105,2023-08-09,Cash,Completed
O3492,C1144,2024-02-29,Transfer,Completed
O3493,C1174,2024-04-01,Card,Cancelled
O3494,C1046,2023-07-09,Transfer,Completed
O3495,C1043,2024-10-26,Card,Cancelled
O3496,C1044,2024-03-02,Card,Returned
O3497,C1020,2024-08-09,Cash,Returned
O3498,C1156,2024-07-25,Cash,Cancelled
O3499,C1097,2024-07-03,Transfer,Cancelled
